date,state,district,market,commodity,variety,min_price,max_price,modal_price,arrivals_quintal
2021-01-01,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1438.86,1959.49,1699.17,6014.6
2021-01-01,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1331.89,1613.47,1472.68,4506.4
2021-01-01,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1741.02,2052.3,1896.66,7279.5
2021-01-01,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1400.89,1947.5,1674.2,4698.4
2021-01-01,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1245.76,1555.04,1400.4,5762.8
2021-01-01,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Nashik Red,1432.32,1834.81,1633.56,4967.2
2021-01-01,Maharashtra,Pune,Pune APMC,Onion,Red,1490.91,1856.5,1673.71,5223.1
2021-01-01,Maharashtra,Pune,Pune APMC,Onion,Local,1428.79,1839.29,1634.04,6650.1
2021-01-01,Maharashtra,Pune,Pune APMC,Onion,Nashik Red,1617.09,2140.27,1878.68,4133.2
2021-01-01,Maharashtra,Solapur,Solapur APMC,Onion,Red,1205.8,1600.85,1403.32,4555.9
2021-01-01,Maharashtra,Solapur,Solapur APMC,Onion,Local,1133.69,1528.87,1331.28,5474.5
2021-01-01,Maharashtra,Solapur,Solapur APMC,Onion,Nashik Red,1437.06,1728.99,1583.03,5662.0
2021-01-01,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Red,1462.0,1827.72,1644.86,5746.8
2021-01-01,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Local,1131.34,1483.48,1307.41,4604.7
2021-01-01,Maharashtra,Ahilyanagar,Ahilyanagar APMC,Onion,Nashik Red,1566.09,1871.51,1718.8,4642.6
2021-01-02,Maharashtra,Nashik,Lasalgaon APMC,Onion,Red,1526.07,1807.86,1666.97,5083.3
2021-01-02,Maharashtra,Nashik,Lasalgaon APMC,Onion,Local,1132.85,1573.67,1353.26,5190.4
2021-01-02,Maharashtra,Nashik,Lasalgaon APMC,Onion,Nashik Red,1478.49,1836.86,1657.67,5823.9
2021-01-02,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Red,1488.93,1774.32,1631.62,7337.3
2021-01-02,Maharashtra,Nashik,Pimpalgaon APMC,Onion,Local,1185.93,1628.41,1407.17,4652.0
