batch_id,storage_day,variety,storage_mode,initial_quality_score,curing_score,initial_weight_kg,temperature_C,relative_humidity_pct,mq135_gas_index,avg_temperature_24h_C,avg_humidity_24h_pct,avg_mq135_24h,hours_temp_above_27C_24h,hours_RH_above_65pct_24h,weight_loss_pct,decay_pct,sprouting_pct,remaining_shelf_life_days,usable_storage_endpoint_day,data_type
B042,17,Red,Ventilated_ambient,0.829,0.946,10.717,35.83,65.17,158.53,35.87,65.02,157.94,19.64,0.53,1.46,0.0,0.0,94,111,synthetic_research_anchored
B111,86,Red,Warm_ambient,0.843,0.735,12.769,29.72,83.77,306.1,29.97,83.98,308.41,7.48,19.8,5.75,100.0,100.0,0,78,synthetic_research_anchored
B021,113,Red,Ventilated_ambient,0.949,0.939,19.361,29.97,69.79,274.18,29.92,69.67,275.52,7.89,4.56,5.68,85.79,99.58,0,90,synthetic_research_anchored
B121,22,Yellow,Warm_ambient,0.895,0.686,13.704,33.59,65.45,189.66,33.55,64.87,191.3,17.55,0.75,1.32,0.0,0.25,79,101,synthetic_research_anchored
B048,14,Red,Warm_ambient,0.876,0.98,10.41,36.18,79.02,197.95,36.36,78.76,199.65,21.27,12.89,1.29,0.69,0.41,106,120,synthetic_research_anchored
B013,4,Yellow,DOGR_like,0.89,0.898,19.04,26.8,65.2,166.72,27.08,65.92,172.57,0.17,0.0,0.0,0.66,0.01,116,120,synthetic_research_anchored
B130,6,Red,Warm_ambient,0.719,0.933,12.565,32.23,77.35,156.06,32.18,76.78,161.31,13.89,12.15,0.25,0.0,0.0,65,71,synthetic_research_anchored
B037,86,White,Ventilated_ambient,0.811,0.862,10.96,28.95,58.79,236.4,29.66,58.86,236.96,4.18,0.0,3.37,69.08,85.75,0,82,synthetic_research_anchored
B008,9,Yellow,Ventilated_ambient,0.852,0.836,9.487,24.22,74.98,160.22,24.28,74.96,158.49,0.47,8.47,0.32,0.96,0.0,95,104,synthetic_research_anchored
B051,114,Red,Warm_ambient,0.99,0.865,11.985,30.36,76.31,275.63,30.61,77.4,279.24,8.51,11.2,6.79,79.62,91.11,6,120,synthetic_research_anchored
B161,27,White,Ventilated_ambient,0.923,0.736,8.523,25.8,69.58,132.85,26.03,69.56,128.05,2.66,3.34,0.98,0.8,1.0,60,87,synthetic_research_anchored
B019,21,Red,Ventilated_ambient,0.863,0.681,15.661,30.6,72.24,170.11,30.35,72.34,167.54,6.79,6.75,1.1,0.31,0.0,69,90,synthetic_research_anchored
B140,75,White,Ventilated_ambient,0.831,0.764,10.568,35.85,65.73,298.4,35.83,66.56,302.82,22.39,1.01,5.72,100.0,86.06,0,73,synthetic_research_anchored
B011,51,Red,Warm_ambient,0.9,0.748,17.493,34.17,71.27,268.76,33.92,70.77,267.74,18.08,6.2,3.83,66.38,49.03,12,63,synthetic_research_anchored
B054,12,Yellow,Ventilated_ambient,0.964,0.805,14.51,29.48,68.6,157.73,29.1,69.35,155.05,3.29,2.99,0.42,0.46,0.55,89,101,synthetic_research_anchored
B119,41,White,Ventilated_ambient,0.847,0.761,16.084,30.62,80.22,213.31,30.57,80.97,214.98,8.94,14.09,2.62,10.26,9.35,32,73,synthetic_research_anchored
B149,50,Yellow,Warm_ambient,0.907,0.674,16.105,35.32,66.66,230.01,34.74,66.49,230.89,19.83,3.16,3.66,41.27,27.77,20,70,synthetic_research_anchored
B148,79,Yellow,Ventilated_ambient,0.798,0.782,13.285,33.2,77.69,317.79,32.94,77.28,325.97,16.06,11.67,6.24,100.0,88.29,1,80,synthetic_research_anchored
B086,75,Red,Warm_ambient,0.861,0.731,19.175,33.96,74.99,294.45,33.79,73.28,293.1,18.38,11.44,5.88,94.69,77.41,6,81,synthetic_research_anchored
B126,56,Yellow,Ventilated_ambient,0.921,0.879,8.166,32.01,74.55,311.66,32.21,74.63,308.14,11.32,6.98,3.43,91.87,78.84,1,57,synthetic_research_anchored
B169,85,Red,Ventilated_ambient,0.835,0.754,19.832,28.0,71.86,242.11,28.1,71.63,243.61,2.43,10.22,3.26,68.4,68.71,11,96,synthetic_research_anchored
B038,95,Red,DOGR_like,0.99,0.683,12.468,26.36,60.77,204.46,26.4,60.96,197.74,0.0,0.0,2.5,31.95,38.11,25,120,synthetic_research_anchored
B116,78,Red,DOGR_like,0.849,0.787,13.088,26.85,62.69,201.85,26.76,62.44,202.16,0.0,0.0,1.89,42.63,53.7,15,93,synthetic_research_anchored
B020,33,Yellow,Warm_ambient,0.899,0.764,19.121,34.38,68.18,191.04,34.41,67.83,185.47,16.17,2.61,2.51,3.71,2.94,39,72,synthetic_research_anchored
B059,99,Red,Warm_ambient,0.858,0.799,17.071,38.55,59.44,300.55,38.66,58.96,301.81,24.0,0.0,9.16,100.0,91.73,0,83,synthetic_research_anchored
B079,39,Yellow,Warm_ambient,0.883,0.761,17.054,34.24,91.03,188.69,34.63,90.8,192.63,17.43,23.02,3.73,6.08,5.02,39,78,synthetic_research_anchored
B034,39,Red,DOGR_like,0.917,0.836,17.176,27.49,60.65,157.18,27.04,60.33,157.26,0.0,0.04,0.97,0.79,1.6,59,98,synthetic_research_anchored
B020,62,Yellow,Warm_ambient,0.899,0.764,19.121,33.02,68.95,266.49,32.8,69.1,267.03,14.51,3.01,3.8,70.49,58.59,10,72,synthetic_research_anchored
B004,111,Red,Ventilated_ambient,0.75,0.898,11.786,26.46,64.82,214.31,26.36,64.45,207.8,2.43,1.5,2.93,54.89,79.52,9,120,synthetic_research_anchored
B142,66,White,Ventilated_ambient,0.963,0.742,16.589,31.46,74.62,274.44,31.17,74.82,271.11,12.27,10.25,4.09,87.24,74.52,5,71,synthetic_research_anchored
B160,33,Red,DOGR_like,0.946,0.682,14.162,29.02,58.66,132.35,29.34,58.24,135.98,5.46,0.32,1.08,0.22,0.0,87,120,synthetic_research_anchored
B171,62,Yellow,Ventilated_ambient,0.955,0.905,19.793,25.68,70.03,175.71,26.01,70.37,176.4,0.0,4.14,2.32,11.82,16.17,31,93,synthetic_research_anchored
B137,107,Yellow,Warm_ambient,0.948,0.827,8.197,31.04,70.82,307.6,30.99,70.59,300.85,11.77,7.05,5.96,95.1,100.0,0,74,synthetic_research_anchored
B039,104,Yellow,Warm_ambient,0.978,0.791,17.569,34.08,76.54,295.59,34.4,75.5,299.22,18.39,12.54,8.18,100.0,100.0,0,87,synthetic_research_anchored
B022,97,Red,Ventilated_ambient,0.935,0.66,12.338,31.6,82.14,315.09,31.46,81.47,311.23,12.32,15.66,6.73,100.0,100.0,0,72,synthetic_research_anchored
B125,69,Yellow,Ventilated_ambient,0.874,0.679,13.26,25.4,68.98,229.63,25.19,69.05,233.73,1.79,4.16,2.18,36.83,39.4,19,88,synthetic_research_anchored
B076,25,White,DOGR_like,0.883,0.806,11.02,26.76,58.17,148.92,27.19,58.5,145.94,0.4,0.64,0.71,0.47,0.62,79,104,synthetic_research_anchored
B053,89,White,DOGR_like,0.909,0.927,11.662,23.87,67.59,231.69,23.79,67.41,223.6,0.15,3.75,2.5,63.31,95.94,0,70,synthetic_research_anchored
B017,105,Red,Ventilated_ambient,0.936,0.932,19.399,30.02,71.78,300.29,30.05,72.39,299.84,7.34,7.97,5.27,89.42,98.81,0,90,synthetic_research_anchored
B077,14,Red,Warm_ambient,0.858,0.928,10.363,27.84,84.29,175.8,27.87,84.79,175.43,3.26,18.01,0.6,0.51,0.58,106,120,synthetic_research_anchored
B083,31,Yellow,Warm_ambient,0.926,0.94,9.763,31.46,64.01,165.27,31.7,63.9,166.5,12.17,0.39,1.55,0.28,2.4,49,80,synthetic_research_anchored
B157,24,Yellow,Ventilated_ambient,0.944,0.888,15.186,32.92,63.13,173.17,33.18,63.77,177.4,16.59,1.78,1.55,0.73,0.51,54,78,synthetic_research_anchored
B047,117,Red,DOGR_like,0.949,0.772,10.972,25.61,67.82,239.48,25.36,68.73,235.22,0.0,3.79,3.71,65.5,97.97,0,95,synthetic_research_anchored
B080,92,Yellow,Warm_ambient,0.978,0.723,8.99,28.6,74.69,272.62,28.4,75.32,276.22,2.07,10.29,4.31,75.87,83.42,6,98,synthetic_research_anchored
B024,29,Red,Ventilated_ambient,0.831,0.841,17.081,27.54,80.25,169.98,28.09,80.41,167.73,0.38,14.22,1.62,0.17,2.07,55,84,synthetic_research_anchored
B025,6,Yellow,DOGR_like,0.99,0.742,13.068,27.19,68.29,155.49,27.44,68.21,158.65,1.02,2.1,0.17,0.0,0.0,111,117,synthetic_research_anchored
B144,64,Yellow,Ventilated_ambient,0.872,0.765,15.441,34.4,60.92,244.96,34.12,61.33,242.18,18.65,0.79,4.43,61.94,45.25,15,79,synthetic_research_anchored
B146,49,Yellow,Warm_ambient,0.906,0.824,12.681,32.17,77.7,176.53,31.9,77.95,177.39,10.94,12.59,3.33,13.72,12.5,31,80,synthetic_research_anchored
B088,82,Red,DOGR_like,0.869,0.877,19.208,23.69,63.5,174.66,23.7,63.19,171.92,0.01,0.53,1.97,10.82,12.45,37,119,synthetic_research_anchored
B169,52,Red,Ventilated_ambient,0.835,0.754,19.832,25.36,76.38,148.09,25.39,76.54,151.61,1.08,12.33,2.11,2.82,3.08,44,96,synthetic_research_anchored
B046,116,White,DOGR_like,0.819,0.826,19.921,27.41,64.65,247.39,27.34,64.29,245.4,1.46,2.14,3.35,64.84,97.8,0,82,synthetic_research_anchored
B041,75,White,Warm_ambient,0.985,0.828,10.177,37.74,77.46,339.21,37.86,77.67,341.45,24.0,12.11,7.74,100.0,94.66,0,71,synthetic_research_anchored
B017,32,Red,Ventilated_ambient,0.936,0.932,19.399,28.23,69.46,165.4,27.92,69.16,163.03,4.09,4.92,1.03,0.0,0.31,58,90,synthetic_research_anchored
B011,33,Red,Warm_ambient,0.9,0.748,17.493,34.81,71.03,186.68,34.88,70.04,186.13,19.41,5.59,2.43,9.52,8.26,30,63,synthetic_research_anchored
B071,55,Yellow,Ventilated_ambient,0.878,0.844,11.813,32.29,75.1,185.11,31.71,75.19,186.25,11.94,7.92,3.69,25.92,20.67,26,81,synthetic_research_anchored
B157,89,Yellow,Ventilated_ambient,0.944,0.888,15.186,31.82,59.78,256.53,32.3,59.86,260.07,12.68,0.89,4.76,81.93,89.41,0,78,synthetic_research_anchored
